thread_id,n_bins,auc_M_base,M_final_base,peak_M_base,peak_t_base,runs_base,veracity_bucket
498274934553317376,3,4.075,2.5,2.5,1.2,20,unverified
498274948772024321,1493,6717.625,4.85,4.85,454.4,20,unverified
498275621651636224,18,27.025,2.05,2.05,6.9,20,unverified
498276304635322368,34,242.25,7.4,7.4,2.2,20,unverified
498276354434277376,870,2630.35,3.55,3.55,389.95,20,unverified
498276771226451968,430,4296.6,11.4,11.4,332.5,20,unverified
498277197581664256,23,32.15,1.95,1.95,11.0,20,unverified
498277231253127168,1,1.35,1.35,1.35,0.0,20,unverified
498277674692149248,13,52.95,5.05,5.05,5.5,20,unverified
498277678706077696,779,1615.825,2.9,2.9,473.25,20,unverified
498278882244853760,25,70.9,4.0,4.0,14.6,20,unverified
498279420885360641,172,709.775,5.6,5.6,91.65,20,unverified
498280074941313024,5,8.45,2.55,2.55,2.0,20,unverified
498280126254428160,33,52.775,1.9,1.9,8.25,20,false
498280730070622209,40,111.9,4.05,4.05,28.15,20,unverified
498281104865259521,132,311.75,2.8,2.8,45.9,20,unverified
498281812821803008,11,22.75,2.95,2.95,5.2,20,unverified
498281886603411456,311,1534.625,5.9,5.9,183.75,20,unverified
498283038338711552,28,184.65,7.7,7.7,11.9,20,unverified
498283233982025728,36,118.9,4.05,4.05,19.8,20,unverified
498283586425200640,35,100.825,5.3,5.3,33.5,20,unverified
498284302128668672,261,2107.175,8.85,8.85,120.55,20,unverified
498284334806495233,7,23.675,4.95,4.95,4.35,20,unverified
498284429333524480,27,117.2,5.5,5.5,21.3,20,unverified
498285405142540289,164,1592.75,10.9,10.9,89.55,20,unverified
498285529704976385,313,496.4,1.8,1.8,64.65,20,unverified
498285556502372352,294,739.925,3.25,3.25,177.95,20,unverified
498285782512050176,112,185.15,2.1,2.1,45.6,20,unverified
498286045843435521,385,780.475,2.7,2.7,211.9,20,unverified
498286281894682624,160,378.9,2.4,2.4,2.7,20,unverified
498287166909579264,50,250.575,6.0,6.0,32.9,20,unverified
498287947301814274,22,78.15,5.25,5.25,18.0,20,unverified
498289596463980544,219,2816.4,13.4,13.4,63.85,20,unverified
498291267756130305,702,2682.85,4.5,4.5,427.85,20,unverified
498292200955195392,34,132.85,4.75,4.75,20.35,20,unverified
498292317296812032,246,1579.55,8.8,8.8,179.0,20,unverified
498292602861400064,2891,9097.55,4.15,4.15,1933.25,20,unverified
498292628455034882,1176,1914.85,2.0,2.0,427.45,20,unverified
498292732159619072,769,1455.5,2.3,2.3,308.95,20,unverified
498293625420148736,1,1.85,1.85,1.85,0.0,20,unverified
498293668655423488,33,366.5,13.5,13.5,24.15,20,false
498294248488574976,17,28.125,2.0,2.0,4.0,20,unverified
498294367405477888,6,13.85,3.9,3.9,3.25,20,false
498294775649665024,21,38.95,2.2,2.2,5.25,20,unverified
498294815579467777,261,648.975,2.95,2.95,101.0,20,unverified
498296205777326080,38,239.65,7.1,7.1,19.3,20,unverified
498298040881782785,5344,34795.0,6.95,6.95,1983.05,20,unverified
498300128088694786,2,1.5,1.7,1.7,0.4,20,unverified
498300256678076417,7,20.075,3.7,3.7,2.4,20,unverified
498300832648273920,485,2029.475,4.25,4.25,13.7,20,unverified
498300897051807744,179,513.15,4.3,4.3,139.35,20,unverified
498301635756838912,6,11.525,2.7,2.7,2.1,20,unverified
498301902048997377,392,1850.75,5.35,5.35,150.35,20,unverified
498302603034640384,530,608.5,1.45,1.45,158.7,20,unverified
498302874531553280,435,1292.425,3.65,3.65,201.9,20,unverified
498303288295817217,174,769.0,7.0,7.0,151.45,20,unverified
498303769915191297,1352,4860.5,3.9,3.9,407.2,20,unverified
498304114955419648,133,171.725,1.55,1.55,33.0,20,unverified
498305825341845504,558,2172.45,5.25,5.25,385.65,20,false
498305962726273024,339,942.6,3.55,3.55,161.65,20,unverified
498308585227431936,157,308.075,2.4,2.4,65.05,20,unverified
498310006169538561,281,2016.55,8.6,8.6,178.6,20,unverified
498311895716470784,154,229.625,1.75,1.75,38.25,20,unverified
498313143530303488,148,1033.9,7.15,7.15,12.65,20,unverified
498314939359301632,106,311.375,3.35,3.35,36.4,20,unverified
498316475317239809,1142,4397.25,4.65,4.65,602.7,20,unverified
498317138554150912,1599,11248.625,8.0,8.0,1130.7,20,false
498318192000118784,67,273.25,4.8,4.8,34.05,20,unverified
498321666267561985,29,45.875,2.1,2.1,12.4,20,unverified
498322865843109888,99,175.225,2.15,2.15,35.7,20,unverified
498323364197699584,124,484.65,5.4,5.4,86.75,20,unverified
498325055726559232,12,43.85,5.3,5.3,9.05,20,unverified
498340530770939904,1183,6342.1,6.8,6.8,725.2,20,unverified
498345343629541376,8502,35177.65,4.6,4.6,3511.05,20,false
498349598197702656,218,804.25,5.4,5.4,183.0,20,unverified
498355319979143168,7,8.15,1.45,1.45,0.6,20,unverified
498356729634390016,157,302.575,2.3,2.3,52.9,20,unverified
498357910603575296,1299,3817.65,7.1,7.1,1246.1,20,unverified
498401948585181184,2115,6178.625,3.45,3.45,1079.65,20,unverified
498430783699554305,72,227.35,4.05,4.05,32.7,20,unverified
498433651835940865,686,12955.7,20.7,20.7,458.2,20,unverified
498452658605535232,167,559.35,4.2,4.2,113.8,20,unverified
498452664527511553,106,181.225,2.15,2.15,40.8,20,unverified
498455001463664640,100,185.225,2.0,2.0,11.5,20,unverified
498463591767756800,62,267.625,5.45,5.45,43.25,20,false
498463733447163905,147,455.0,3.45,3.45,35.25,20,unverified
498466570675716096,172,892.975,6.1,6.1,88.15,20,unverified
498472666802958336,9,15.9,2.25,2.25,2.1,20,unverified
498473263862149120,6,9.625,2.2,2.2,1.2,20,unverified
498473515302260736,37,61.125,2.1,2.1,13.5,20,unverified
498474035668586497,512,2995.35,6.25,6.25,170.0,20,unverified
498474263255330818,1135,3960.1,3.8,3.8,283.25,20,unverified
498476761538371584,20,66.15,4.2,4.2,9.6,20,unverified
498477164380299264,169,726.275,6.3,6.3,147.7,20,unverified
498477676219600896,1455,6675.9,5.3,5.3,796.1,20,unverified
498480344992350209,4040,27047.85,7.2,7.2,1874.7,20,unverified
498480911243948034,28,101.175,5.55,5.55,16.2,20,false
498482619232055296,335,3338.8,11.8,11.8,270.95,20,unverified
498483031842500608,27,77.3,4.1,4.1,18.65,20,unverified
498483279943962625,20,80.5,4.9,4.9,8.5,20,unverified
498483485133516800,918,1484.8,1.85,1.85,211.9,20,unverified
498483784296448000,36,70.025,2.15,2.15,5.3,20,unverified
498486539585069056,88,165.95,2.4,2.4,39.0,20,unverified
498486826269548545,724,1882.15,3.0,3.0,268.2,20,false
498486850521423872,20,47.7,2.9,2.9,7.6,20,unverified
498487087105314816,7,13.425,3.35,3.35,4.15,20,unverified
498487611963744256,112,508.725,5.55,5.55,62.7,20,unverified
498489114384420865,115,613.3,7.1,7.1,95.8,20,unverified
498492003903356928,73,396.975,6.35,6.35,40.25,20,unverified
498492636630896640,74,368.15,5.9,5.9,46.05,20,unverified
498494758814109696,26,91.8,4.9,4.9,18.9,20,unverified
498497371899449344,5,12.775,3.35,3.35,0.75,20,unverified
498497395198799872,120,384.9,3.65,3.65,37.9,20,unverified
498498431271190528,23,67.675,3.75,3.75,12.1,20,false
498499795192143872,409,2193.45,6.3,6.3,184.3,20,unverified
498499836900278272,303,1059.65,4.65,4.65,248.3,20,unverified
498500813845966848,2499,7511.8,3.45,3.45,1041.1,20,unverified
498504673339666432,333,917.975,3.45,3.45,189.6,20,unverified
498506343368519680,4,3.75,1.5,1.5,0.9,20,false
498507434693246977,6,12.5,2.75,2.75,1.5,20,unverified
498507730395484160,519,2959.55,9.2,9.2,426.15,20,unverified
498508707244683264,85,250.425,4.0,4.0,57.3,20,unverified
498510381774819330,1120,4911.825,5.2,5.2,683.55,20,unverified
498512372584415232,91,215.05,2.95,2.95,42.65,20,unverified
498512590260023296,46,420.5,14.05,14.05,44.15,20,unverified
498515980205948928,1467,5677.375,4.3,4.3,367.85,20,unverified
498524570593140736,3,2.725,1.55,1.55,0.5,20,unverified
498527404386578432,1280,5825.55,6.45,6.45,1046.9,20,unverified
498529979672842241,1665,16004.825,11.2,11.2,1106.3,20,unverified
498530293116968960,1109,4802.325,4.8,4.8,419.15,20,unverified
498530946338258944,665,2126.2,3.8,3.8,358.55,20,unverified
498531639472189441,14,37.55,4.05,4.05,9.55,20,unverified
498535462349582337,399,2269.075,8.55,8.55,325.0,20,unverified
498544167757570049,668,2594.35,5.05,5.05,440.0,20,unverified
498556324868009984,585,4776.825,9.1,9.1,248.35,20,unverified
498560433021026304,280,1196.2,5.65,5.65,129.8,20,unverified
498575704582148096,129,656.175,5.8,5.8,75.0,20,unverified
498584409055174656,20,36.25,2.1,2.1,3.9,20,unverified
498585089828478977,101,596.375,7.1,7.1,55.8,20,unverified
498586725502173184,890,1343.325,1.95,1.95,355.6,20,unverified
498590686065606657,388,2549.975,7.85,7.85,235.5,20,unverified
498602787614511104,1,1.55,1.55,1.55,0.0,20,unverified
498602798687469568,66,140.875,2.35,2.35,8.9,20,unverified
498602841335169024,56,100.275,2.5,2.5,28.5,20,unverified
498603999252467713,217,1294.675,6.8,6.8,97.2,20,unverified
498609222020780033,42,130.95,3.65,3.65,15.25,20,unverified
498616975850225664,35,143.525,5.1,5.1,19.25,20,unverified
499345010190348288,12,30.2,3.15,3.15,4.4,20,unverified
499345023721537536,1427,2265.475,2.05,2.05,651.1,20,unverified
499345384024842240,49,171.75,3.65,3.65,3.35,20,unverified
499345604297121792,133,560.375,5.5,5.5,68.45,20,unverified
499346625760751616,590,4136.25,8.45,8.45,389.85,20,unverified
499347831954870274,2783,12971.575,5.3,5.3,1700.85,20,unverified
499349294034743297,2,5.125,5.75,5.75,0.9,20,unverified
499355083734519808,38,115.625,4.0,4.0,25.65,20,unverified
499357077429817344,337,908.675,3.3,3.3,148.6,20,unverified
499357289363431425,3,3.925,2.2,2.2,0.7,20,unverified
499358869492367360,16,79.05,5.95,5.95,7.8,20,unverified
499359735947087872,228,821.925,4.85,4.85,168.6,20,unverified
499360134779637761,29,86.875,4.0,4.0,17.5,20,unverified
499360784666071040,328,392.5,1.4,1.4,65.4,20,unverified
499361506132508673,186,479.825,3.6,3.6,117.3,20,unverified
499361662743220224,41,131.825,4.05,4.05,20.55,20,false
499361679197884416,1,1.9,1.9,1.9,0.0,20,unverified
499361965035491329,31,49.875,2.2,2.2,14.25,20,unverified
499362269269336064,1,1.45,1.45,1.45,0.0,20,unverified
499362348940144640,19,38.8,3.0,3.0,11.4,20,unverified
499362949166030848,28,36.2,1.8,1.8,12.05,20,unverified
499363612260315136,2,5.65,6.6,6.6,0.95,20,unverified
499363921661140993,63,86.85,1.5,1.5,6.2,20,unverified
499363975377993729,244,1466.0,7.1,7.1,168.35,20,unverified
499364002318020608,582,1045.525,2.35,2.35,265.0,20,unverified
499364522038394880,878,7316.4,8.8,8.8,190.5,20,unverified
499365436816105473,14,22.725,1.9,1.9,2.15,20,unverified
499366666300846081,880,4647.6,6.05,6.05,504.55,20,false
499366930457710592,268,756.875,3.45,3.45,103.85,20,unverified
499366977497214976,279,630.1,2.95,2.95,128.05,20,unverified
499368426931228672,203,720.5,4.05,4.05,74.2,20,unverified
499368533378498560,330,1886.05,6.05,6.05,94.15,20,false
499368931367608320,236,1347.375,7.4,7.4,138.4,20,false
499369948943495168,48,155.3,3.85,3.85,18.6,20,unverified
499375535458643968,22,80.175,4.7,4.7,10.3,20,unverified
499376069485821952,34,94.075,4.0,4.0,26.1,20,unverified
499377470697926656,135,1050.425,10.4,10.4,120.7,20,unverified
499377813758443520,34,117.55,4.8,4.8,21.65,20,unverified
499379061718659073,627,5205.825,13.4,13.4,617.3,20,unverified
499381321954000896,138,582.075,4.75,4.75,39.45,20,unverified
499381843955707904,485,2459.9,5.7,5.7,179.25,20,false
499381917490237440,8,9.95,1.7,1.7,2.1,20,unverified
499383196451368960,5,8.425,2.15,2.15,0.2,20,unverified
499383640267423744,16,55.625,4.65,4.65,9.9,20,unverified
499385227362328576,3181,16945.225,6.3,6.3,1829.15,20,unverified
499386181310619649,1939,14469.65,8.15,8.15,1064.2,20,unverified
499386726414954496,397,1263.825,4.15,4.15,256.75,20,unverified
499387698390790144,1065,6659.675,6.9,6.9,468.3,20,unverified
499387985096237056,29,76.475,3.2,3.2,13.1,20,unverified
499387993879511041,3,11.175,6.9,6.9,1.85,20,unverified
499388398529175552,161,210.225,1.9,1.9,87.2,20,unverified
499388619425980416,138,702.225,6.15,6.15,98.15,20,unverified
499389815268573187,4523,10820.05,2.7,2.7,1138.5,20,unverified
499394221984714752,14,19.725,2.5,2.5,6.8,20,unverified
499394946416529409,2212,23867.0,11.1,11.1,347.15,20,unverified
499397048878501888,13,22.725,2.1,2.1,2.3,20,unverified
499397804620386304,16,53.25,4.4,4.4,9.4,20,unverified
499400566397607936,10,18.725,2.6,2.6,4.7,20,unverified
499401831874043905,69,248.6,4.25,4.25,25.95,20,unverified
499402006146977792,171,537.15,4.15,4.15,108.2,20,unverified
499402444267212800,11,35.2,4.65,4.65,7.1,20,unverified
499403422278619136,101,315.425,3.7,3.7,51.55,20,unverified
499404849835175938,11,48.85,4.95,4.95,0.8,20,false
499405013261635584,36,47.7,1.95,1.95,17.85,20,unverified
499406086945136640,619,1007.1,1.65,1.65,6.7,20,unverified
499406854615597056,135,234.675,2.65,2.65,101.3,20,unverified
499407248427188224,2,1.4,1.55,1.55,0.3,20,false
499408845127819265,110,281.725,3.2,3.2,63.25,20,unverified
499408988422037505,189,394.15,5.7,5.7,181.8,20,unverified
499409455814287360,95,214.75,2.65,2.65,34.15,20,unverified
499409692834021376,800,3456.95,4.4,4.4,49.3,20,unverified
499410901033054208,15,39.9,3.3,3.3,6.3,20,unverified
499410965075886080,1860,10142.8,7.35,7.35,1626.15,20,unverified
499411596255719424,104,300.55,3.3,3.3,29.35,20,unverified
499411738467794945,73,380.575,5.8,5.8,28.5,20,unverified
499411840733282304,60,339.325,7.2,7.2,37.4,20,unverified
499412661176926209,105,408.975,4.45,4.45,42.5,20,unverified
499424290748780546,94,275.425,3.55,3.55,42.2,20,unverified
499426471300329472,76,297.125,4.5,4.5,32.0,20,unverified
499427218171248641,5,20.325,6.25,6.25,2.85,20,unverified
499427833102745600,5,8.65,2.45,2.45,1.35,20,unverified
499430225043009537,3,6.675,3.7,3.7,0.85,20,false
499432169836531712,10,28.625,3.6,3.6,3.1,20,unverified
499432557906104320,342,5243.775,16.05,16.05,82.35,20,unverified
499435341259223040,30,58.925,2.65,2.65,15.75,20,unverified
499437429690888192,16,31.35,2.25,2.25,2.55,20,unverified
499438052688023552,1,4.65,4.65,4.65,0.0,20,unverified
499438977774931968,2580,14562.5,5.95,5.95,692.15,20,unverified
499439550029381632,21,79.5,4.5,4.5,10.15,20,unverified
499439571520991232,391,1838.5,7.25,7.25,366.05,20,unverified
499439795618480128,1255,17855.0,17.95,17.95,932.6,20,unverified
499440386767859712,589,5528.25,10.45,10.45,307.0,20,unverified
499441454498852864,22,92.55,5.45,5.45,13.05,20,unverified
499444325646757888,1,1.6,1.6,1.6,0.0,20,unverified
499444395800682497,107,164.0,2.2,2.2,56.0,20,unverified
499445575956578304,84,161.025,2.6,2.6,39.65,20,unverified
499446112147628032,736,1115.0,2.0,2.0,335.4,20,unverified
499446567229603841,496,2197.225,4.65,4.65,57.9,20,unverified
499448210789007360,1545,8554.9,6.4,6.4,857.8,20,unverified
499453410744483842,117,167.375,1.75,1.75,35.85,20,unverified
499453886474637312,1039,4820.275,6.55,6.55,996.25,20,unverified
499455799723184130,335,1517.85,5.35,5.35,196.85,20,unverified
499456140044824576,79,239.575,3.55,3.55,35.45,20,false
499456913902284800,52,104.075,2.15,2.15,5.6,20,false
499457882144796672,262,425.15,1.9,1.9,66.45,20,unverified
499463629251837952,150,696.7,5.1,5.1,47.1,20,unverified
499465611647275008,152,380.5,3.1,3.1,61.7,20,unverified
499467982943186944,161,654.475,4.65,4.65,61.4,20,unverified
499472596853743618,158,315.325,2.45,2.45,56.8,20,unverified
499478126570004480,1238,8815.65,8.55,8.55,1023.75,20,unverified
499481575059619840,49,165.7,4.8,4.8,33.5,20,unverified
499484255869612034,6241,34901.025,6.1,6.1,2614.65,20,unverified
499488337338843137,182,512.65,3.05,3.05,32.05,20,unverified
499494187969298432,146,495.4,5.0,5.0,90.95,20,false
499501246907432960,181,1153.075,7.5,7.5,80.45,20,unverified
499504676250066945,2228,9690.275,4.75,4.75,836.45,20,false
499507509171060736,5,5.725,1.65,1.65,1.0,20,unverified
499511714438971392,93,298.4,4.4,4.4,52.05,20,unverified
499512318410375168,66,144.95,2.8,2.8,33.0,20,false
499514668814467072,103,298.7,4.05,4.05,65.7,20,unverified
499517463457849345,2345,16251.5,7.4,7.4,1068.05,20,unverified
499519101644308480,55,92.625,2.15,2.15,23.4,20,unverified
499519439206092800,187,618.8,3.75,3.75,45.4,20,unverified
499520839860367360,45,140.375,5.25,5.25,36.9,20,false
499525020708634625,563,4076.775,7.8,7.8,237.05,20,false
499526002469797888,49,216.375,6.15,6.15,33.2,20,unverified
499527157023277056,166,537.1,3.7,3.7,63.45,20,unverified
499529014797557760,43,205.0,6.95,6.95,35.25,20,unverified
499530130487017472,8745,41004.25,5.0,5.0,2671.55,20,false
499530401136668672,304,1045.25,3.9,3.9,115.35,20,unverified
499531968229683200,63,94.35,3.45,3.45,58.05,20,unverified
499532858399412224,37,147.15,6.15,6.15,30.0,20,unverified
499536812109742080,56,234.55,5.25,5.25,32.8,20,unverified
499541439962185729,293,1705.575,6.75,6.75,151.65,20,unverified
499542449753051136,103,437.375,4.9,4.9,38.4,20,unverified
499553298668859392,445,1692.95,4.55,4.55,226.2,20,unverified
499553426133753857,203,523.175,3.0,3.0,77.05,20,unverified
499553513471741954,17,22.4,2.05,2.05,9.8,20,unverified
499554114024771584,8,22.85,3.85,3.85,2.8,20,unverified
499554248292458499,1340,6161.725,5.8,5.8,714.45,20,unverified
499560002341044224,892,7598.15,9.3,9.3,574.25,20,unverified
499563566786433024,3347,11503.525,4.5,4.5,1188.7,20,unverified
499564237552115712,25,44.325,2.55,2.55,13.6,20,unverified
499565555645685760,76,186.175,3.0,3.0,33.25,20,false
499567797064957952,5246,49043.675,9.9,9.9,1782.35,20,unverified
499568802267672576,241,873.625,3.75,3.75,19.75,20,unverified
499569344184340480,458,1922.65,4.8,4.8,182.45,20,unverified
499571347375136768,41,100.225,3.85,3.85,26.75,20,unverified
499571799764770816,4118,31388.95,7.95,7.95,1283.4,20,unverified
499574200596983808,47,192.225,4.75,4.75,20.85,20,unverified
499575076468305923,160,498.575,3.8,3.8,78.65,20,unverified
499576743967993856,2710,23682.925,9.6,9.6,1725.45,20,unverified
499579650926858240,17,26.175,1.95,1.95,5.1,20,unverified
499579905508917248,42,162.475,5.25,5.25,23.3,20,false
499581469027618816,272,478.2,2.9,2.9,162.55,20,unverified
499583424114728961,47,141.425,3.4,3.4,11.9,20,unverified
499584606878715905,11,51.65,6.4,6.4,6.75,20,unverified
499584618165567488,10,30.05,4.1,4.1,4.75,20,unverified
499585144416514048,264,2044.575,10.4,10.4,179.6,20,unverified
499586890837016579,125,320.65,3.4,3.4,66.8,20,unverified
499588291335692288,39,320.7,10.2,10.2,28.05,20,unverified
499589336816308227,284,977.325,7.65,7.65,259.45,20,unverified
499590048313262080,228,1499.125,8.75,8.75,165.9,20,unverified
499590929611640832,296,1049.625,4.0,4.0,100.35,20,unverified
499592320900431872,55,264.1,8.05,8.05,45.7,20,unverified
499595283504701440,37,168.275,5.55,5.55,13.0,20,unverified
499596695705894912,1846,11803.975,6.9,6.9,748.35,20,unverified
499598154581303296,323,2274.05,7.7,7.7,126.0,20,unverified
499598945417703424,162,326.425,2.4,2.4,54.55,20,unverified
499600140580044800,304,3854.725,13.9,13.9,184.85,20,false
499601812005998592,93,208.125,3.0,3.0,57.85,20,unverified
499601956491374594,51,96.575,2.75,2.75,25.8,20,unverified
499602333404504064,291,1188.2,6.2,6.2,194.35,20,unverified
499602370917978112,4,15.675,5.9,5.9,1.8,20,unverified
499604750888083456,257,791.4,4.0,4.0,126.1,20,unverified
499605248747786240,236,943.15,4.2,4.2,29.6,20,unverified
499606278910398464,157,803.275,6.2,6.2,86.1,20,unverified
499607500187250689,5,16.75,5.05,5.05,2.7,20,unverified
499608179362521088,15,45.125,4.45,4.45,9.25,20,unverified
499610913112989696,49,173.65,4.65,4.65,28.25,20,unverified
499611069565112320,66,106.45,2.05,2.05,25.95,20,unverified
499611719090450432,131,971.125,8.8,8.8,114.95,20,unverified
499612195756728320,379,1475.95,4.45,4.45,168.5,20,unverified
499612545909415938,302,1419.125,6.15,6.15,212.95,20,false
499613731312005121,55,200.525,4.3,4.3,28.25,20,unverified
499615655906533376,10,46.025,6.15,6.15,5.9,20,unverified
499619724222038016,26,110.425,5.45,5.45,15.6,20,unverified
499620598994444288,65,152.7,3.4,3.4,43.4,20,unverified
499620682502635520,124,1193.8,10.55,10.55,60.15,20,unverified
499621957747224576,66,167.65,4.4,4.4,55.2,20,unverified
499622667142844416,63,293.675,5.7,5.7,41.85,20,unverified
499626055251271682,117,328.25,4.15,4.15,76.15,20,unverified
499635302764662784,112,1340.65,15.9,15.9,94.6,20,unverified
499636076852420608,2,1.525,1.7,1.7,0.35,20,unverified
499637476315910146,2288,7288.775,3.2,3.2,24.8,20,unverified
499638207987089408,221,1341.475,7.05,7.05,105.95,20,unverified
499642374428307457,8,9.3,1.7,1.7,2.8,20,false
499642704687816706,1940,3718.975,2.5,2.5,1052.5,20,unverified
499643185581142016,462,5689.45,13.35,13.35,149.65,20,unverified
499647059688173569,133,478.475,5.8,5.8,111.95,20,unverified
499648409767538688,20,123.2,9.1,9.1,18.05,20,false
499648712596271107,1,5.9,5.9,5.9,0.0,20,unverified
499649230181388289,283,1703.875,8.7,8.7,209.05,20,unverified
499649754822103040,2,5.5,6.2,6.2,0.85,20,unverified
499649813332639744,196,272.05,1.75,1.75,69.0,20,unverified
499649872534831104,3,9.95,5.85,5.85,1.55,20,unverified
499650234914713600,13,15.825,1.75,1.75,5.4,20,unverified
499650640314777601,5,5.575,1.85,1.85,2.0,20,unverified
499651344622694400,22,160.025,16.85,16.85,17.5,20,unverified
499651830951841794,52,90.85,2.05,2.05,13.1,20,unverified
499652256288235521,52,76.825,2.05,2.05,18.3,20,unverified
499652628825899009,69,190.4,4.35,4.35,50.95,20,unverified
499653470417199105,6,7.375,1.85,1.85,1.95,20,unverified
499654272342953984,67,160.2,3.3,3.3,37.6,20,unverified
499655249398075392,525,4894.8,9.9,9.9,247.55,20,false
499655603405725696,57,200.1,5.2,5.2,40.3,20,unverified
499655869412286464,280,1118.225,5.3,5.3,232.25,20,unverified
499657337548701696,62,391.225,8.5,8.5,45.2,20,unverified
499657337985323009,217,1008.475,5.9,5.9,165.35,20,unverified
499657584836874240,189,515.25,2.9,2.9,24.4,20,unverified
499658267493019651,486,1575.725,6.0,6.0,482.5,20,unverified
499659628645720064,92,560.5,8.7,8.7,82.85,20,unverified
499660656769921025,1,2.25,2.25,2.25,0.0,20,unverified
499660768908832771,1307,4426.5,4.35,4.35,982.5,20,unverified
499660771857809409,199,420.7,2.8,2.8,103.5,20,unverified
499662307560263680,50,198.2,5.45,5.45,35.25,20,unverified
499662393627410432,33,121.175,4.3,4.3,13.7,20,unverified
499663992697417728,197,932.15,5.0,5.0,38.15,20,unverified
499665704300191745,764,3976.55,5.7,5.7,353.75,20,unverified
499665889198088192,21,46.6,2.75,2.75,7.3,20,unverified
499667482354143232,175,899.2,5.5,5.5,35.15,20,unverified
499667557247614977,66,100.775,1.85,1.85,19.65,20,unverified
499668221767999488,447,949.2,2.6,2.6,188.4,20,unverified
499669445548449793,41,98.7,2.9,2.9,15.2,20,unverified
499669671034257408,222,1213.55,5.7,5.7,35.0,20,unverified
499671635067437056,112,391.0,4.15,4.15,47.1,20,unverified
499673142114013186,1224,19565.375,17.25,17.25,705.35,20,unverified
499673760484433921,239,1609.0,8.7,8.7,184.95,20,unverified
499674159916789760,77,326.275,5.65,5.65,56.35,20,unverified
499674825753772033,1320,2241.45,2.0,2.0,396.3,20,unverified
499674991294951424,62,229.15,4.65,4.65,38.1,20,unverified
499678305134448641,7,7.875,1.35,1.35,0.25,20,unverified
499678822598340608,34,174.25,6.75,6.75,24.85,20,unverified
499679142766735362,219,1577.0,9.7,9.7,151.1,20,unverified
499679986727411715,136,350.05,3.25,3.25,66.75,20,unverified
499681614549377024,5,14.225,5.65,5.65,3.45,20,unverified
499682060793937921,1149,13351.875,12.85,12.85,564.0,20,unverified
499683602452717569,332,2319.275,9.55,9.55,266.3,20,unverified
499684402616864768,54,232.95,5.1,5.1,32.75,20,unverified
499687274326786049,72,217.225,3.6,3.6,31.1,20,unverified
499687644045918210,3452,29971.125,9.4,9.4,2139.5,20,unverified
499688532391526400,64,430.225,10.3,10.3,46.6,20,unverified
499688832300630016,13,56.425,5.3,5.3,6.3,20,unverified
499689349420568577,160,3710.75,24.35,24.35,34.7,20,unverified
499689438092726273,6,31.625,6.75,6.75,1.6,20,unverified
499689757652566016,21,56.225,3.25,3.25,9.0,20,unverified
499689919929798657,15,61.3,5.4,5.4,8.05,20,unverified
499690323883589632,25,70.25,3.1,3.1,4.15,20,unverified
499690604302192640,39,109.725,4.0,4.0,24.65,20,unverified
499690869784846336,11,33.15,6.0,6.0,9.2,20,unverified
499691224169590784,22,88.575,4.65,4.65,7.2,20,unverified
499691429359517696,9,27.15,3.9,3.9,3.9,20,unverified
499691501136650240,14,24.675,2.1,2.1,2.85,20,unverified
499691556652449792,355,1197.625,3.85,3.85,98.15,20,unverified
